ts,source,symbol,side,rsi_value,change_24h,oracle_type,btc_bias,entry_price,f_strength,f_chase,f_regime,confirm_would_fire,confluence_count,repeat_n,adx_value,adx_regime,btc_adx_regime,decision
2026-06-13T17:00:09.447964-05:00,oraclealgo,BTC-USDT,buy,,,BOS,stale-bull,64441.4,,,,,1,,,,bear_ranging_calm,no_bias
2026-06-13T17:42:53.558989-05:00,rsi_extreme,SIREN-USDT,buy,15.0,-76.12,,,0.1158,True,False,,,,7,71.6,trending_strong,bear_ranging_calm,repeat_alert
2026-06-13T18:01:37.563936-05:00,rsi_extreme,KAITO-USDT,sell,91.2,16.93,,,0.4876,True,False,,,,1,48.8,trending_strong,bear_ranging_calm,enter
2026-06-14T03:21:04.234389-05:00,rsi_extreme,TSTBSC-USDT,buy,13.8,-18.38,,,0.014,True,False,,,,1,30.8,trending_strong,bear_ranging_calm,enter
2026-06-14T06:09:01.794851-05:00,rsi_extreme,SIREN-USDT,buy,14.9,-47.1,,,0.068,True,False,,,,3,62.6,trending_strong,bear_ranging_calm,repeat_alert
2026-06-14T08:10:29.505772-05:00,rsi_extreme,ZKC-USDT,sell,90.0,33.26,,,0.065,True,False,,,,1,51.7,trending_strong,bear_ranging_calm,enter
2026-06-14T08:20:58.599778-05:00,rsi_extreme,SIREN-USDT,buy,15.0,-50.14,,,0.0639,True,False,,,,3,56.0,trending_strong,bear_ranging_calm,repeat_alert
2026-06-14T10:00:26.574721-05:00,oraclealgo,BTC-USDT,sell,,,MSS,stale-bull,64016.1,,,,,1,,,,bear_ranging_calm,no_bias
2026-06-14T10:39:47.799138-05:00,rsi_extreme,SIREN-USDT,buy,15.0,-54.87,,,0.058,True,False,,,,4,55.7,trending_strong,bear_ranging_calm,repeat_alert
2026-06-14T12:07:19.271918-05:00,rsi_extreme,EVAA-USDT,sell,90.0,52.37,,,0.5938,True,False,,,,1,56.6,trending_strong,bear_ranging_calm,enter
2026-06-14T13:00:43.412854-05:00,oraclealgo,BTC-USDT,sell,,,,stale-bull,63720.1,,,,,1,,,,bear_ranging_calm,no_bias
2026-06-14T13:26:47.873277-05:00,rsi_extreme,SIREN-USDT,buy,15.0,-60.4,,,0.0505,True,False,,,,5,58.3,trending_strong,bear_ranging_calm,repeat_alert
2026-06-14T14:06:53.431756-05:00,rsi_extreme,EVAA-USDT,sell,90.9,58.43,,,0.6334,True,False,,,,2,57.8,trending_strong,bear_ranging_calm,repeat_alert
2026-06-14T15:27:08.583486-05:00,rsi_extreme,SIREN-USDT,buy,13.2,-66.88,,bear,0.0421,True,False,False,,,6,58.0,trending_strong,bear_ranging_calm,repeat_alert
